,ParticipantName,Blink_Counter,left_avg_pupil_dill,Start_Timestamp,RecordingTimestamp,FixationIndex,SaccadeIndex,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),SaccadicAmplitude,AbsoluteSaccadicDirection,RelativeSaccadicDirection,StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),PupilLeft,PupilRight,Timestamp_n,fix_duration,Age,Average_Grade
10,o11.03.A,203.0,6.735396172076087e-07,610085.7315500951,755944.7348876589,2231.447587352012,3287.7043784376874,381.6601830818453,583.6708800859839,1675.8645066313625,5.000499434933525,175.01700717623802,182.7890203663178,1017.0004708451074,590.1886688901151,3.2594855223020796,3.267859125404101,145859.0033375637,145.4904954212476,1,0.3728251617296561
11,o12.03.A,206.5,3.4815146142914946e-07,652150.8469276475,811433.5344459577,2675.0391507298646,4037.741938260556,1067.8770922417746,602.2719015966562,1515.7707413905955,4.927565222577649,180.15614456437459,182.16998379487723,1018.86501730376,634.031847223257,2.9867671362160415,3.0641338331423484,159282.68751831033,142.06126338708367,1,0.5028784028081781
12,o13.03.A,558.5,1.6389620033683346e-06,626026.0108540815,786168.1584208275,2305.259509930229,4216.448228317624,333.51263106889604,561.7495516711999,1601.1620557692286,5.768332724207644,181.05098245905316,183.76400222833513,950.690895765893,586.960899437447,3.483586564623831,3.5002852724951614,160142.14756674605,142.64034021048832,1,0.3869949494949495
13,o14.03.A,851.6725464876033,5.642717863008142e-07,650365.7832280019,811249.4533089071,2294.2306864474685,3325.094503654832,359.01685170004356,614.0028657378997,424.181171294418,5.374721950732095,175.73091210917732,176.7209197599447,1057.5778641648794,610.571507690383,4.034056090717061,3.620814741737864,160883.67008090514,142.13879343429218,1,0.40996735006566465
14,o15.03.A,166.66666666666666,0.00012891910360702367,352173.3494517002,442784.95524931146,1250.8713180044485,2236.405612119502,1610.1804353583127,629.9712329179483,403.1618412236576,5.965082247886538,181.27483259488636,190.6073254707786,1100.90922849392,693.550939500229,3.103470959647551,3.073409340569905,90611.60579761125,148.97737342275897,1,0.4335064124389968
15,o16.04.A,279.5,1.2764631839313715e-06,638648.1114731268,803023.0873022734,2106.3182215777956,2961.0617883894447,1902.2804556661672,645.5760296383773,403.84434146681247,4.7651713306701,181.21333630897604,176.14505367254787,1106.2559238348802,652.4966828911024,3.763482581575906,4.126607379229607,164374.97582914657,142.05798307670966,1,0.5151972169528349
16,o17.04.A,945.0,6.187379108811768e-07,726465.8750737568,915277.4283455919,2651.2141941099053,7919.461989449801,426.92633514755306,496.66759070374997,442.99351577148997,4.609765460190055,174.13630911275794,179.3830446796647,912.7921279448854,543.7334015376982,3.2308350337446186,3.572305942295114,188811.55327183515,140.3803096581375,1,0.44785667671903623
17,o18.04.A,42.0,9.655408181599634e-07,568294.4669569064,702066.7297246294,2158.3676795270094,3141.8882404654114,309.4258152076502,635.3883397803834,415.56671581831097,5.753532425360635,175.94416863313677,177.32287903470268,1074.6960095276918,637.9444761916046,2.773648637461644,2.8564533217547963,133772.26276772306,146.99153303335171,1,0.3288277031956807
18,o19.04.A,1182.0,-9.046768043885818e-07,675012.2150929035,853488.1098074339,2248.991546092703,3401.4710592581823,740.8630356097353,579.4872338979562,440.78063516936544,4.524786993285192,181.81001435255052,180.65194814025585,1026.6516256435327,567.0100678457519,4.595285496251249,4.29487266246444,178475.89471453047,138.81950166341585,1,0.6150023509574071
19,o20.05.A,3744.0,-6.9902135966730805e-06,632399.804499021,799510.5709775492,1990.0458598340374,4902.279900880318,291.4444996882751,592.2986474775653,380.3544059605199,5.159399059909703,186.38705625421238,176.0428259902802,964.2956493501881,732.4039498799912,5.0827889704950335,4.861397763221845,167110.76647852812,141.4334513707248,1,0.2553476174262691
20,o21.05.A,1920.5,-1.8329809288513917e-06,712789.0121253915,902334.9408852644,2290.2546666211656,4154.417904078234,677.8218720973969,589.0556349919327,392.02274172500296,5.718357717964443,188.37304578369896,177.21544513159293,1007.1043911696304,679.1459773587246,4.875615918946853,4.873191183303621,189545.92875987297,140.38412410690404,1,0.5645745172430565
